'2023-10-27';'2023-10-27';'ODERLAND';'-236,25'
'2023-10-30';'2023-10-29';'Microsoft';'-599,00'
'2023-10-30';'2023-10-30';'FORTNOX';'-1249,81'
'2023-11-01';'2023-10-31';'DIGITALOCEAN';'-99,28'
'2023-11-12';'2023-11-11';'TinyTronics,';'-551,86'
'2023-11-12';'2023-11-11';'TinyTronics';'-410,96'
'2023-11-12';'2023-11-11';'DOCKER';'-3335,35'
'2023-11-17';'2023-11-16';'CHATGPT';'-215,66'
'2023-11-19';'2023-11-19';'NPM';'-75,48'
'2023-11-19';'2023-11-19';'NPM';'-75,48'
'2023-11-20';'2023-11-20';'TinyTronics';'-435,85'
'2023-11-27';'2023-11-26';'KJELL & CO';'-428,80'
'2023-12-01';'2023-11-30';'DIGITALOCEAN';'-93,40'
'2023-12-02';'2023-12-01';'Sjoebaren';'-368,00'
'2023-12-02';'2023-12-02';'ELECTROKIT';'-241,25'
'2023-12-07';'2023-12-07';'TeamViewer';'-5 792,15'
'2023-12-08';'2023-12-07';'Besikta';'-659,00'
'2023-12-15';'2023-12-14';'HOTEL AT BOOKING.COM';'-1145,00'
'2023-12-17';'2023-12-16';'CHATGPT';'-209,63'
'2023-12-19';'2023-12-19';'NPM';'-73,59'
'2023-12-19';'2023-12-19';'NPM';'-73,59'
'2023-12-24';'2023-12-23';'MJUK BILTVATT';'-299,00'
'2024-01-01';'2023-12-31';'DIGITALOCEAN';'-93,81'
'2024-01-06';'2024-01-05';'OPENAI';'-104,71'
'2024-01-10';'2024-01-09';'REACT-ADMIN';'-1675,62'
'2024-01-12';'2024-01-12';'GITKRAKEN SOFTWARE';'-2009,91'
'2024-01-14';'2024-01-12';'JOHN SCOTT S';'-250,00'
'2024-01-18';'2024-01-18';'ODERLAND';'-248,75'
'2024-01-18';'2024-01-18';'ODERLAND';'-236,25'
'2024-01-18';'2024-01-18';'ODERLAND';'-248,75'
'2024-01-19';'2024-01-19';'Fortnox';'-1567,00'
'2024-01-19';'2024-01-18';'KIFAB';'-269,00'
'2024-01-19';'2024-01-19';'SCANDIC HOTELS';'-822,00'
'2024-01-19';'2024-01-19';'NPM';'-74,58'
'2024-01-19';'2024-01-19';'NPM';'-74,58'
'2024-01-20';'2024-01-19';'CLAS OHLSON';'-199,90'
'2024-01-22';'2024-01-22';'Fortnox';'-1065,64'
'2024-01-22';'2024-01-21';'EASEUS.COM';'-913,69'
'2024-01-28';'2024-01-27';'MEDIUM';'-53,20'
'2024-02-09';'2024-02-09';'DIGITALOCEAN';'-79,98'
