"2023-06-13";"2023-06-11";"Kortköp";"PAYPAL *CLEARSYSTEM,35314369001,SE";"-2 671,44"
"2023-06-15";"2023-06-14";"Kortköp";"BILTEMA SWEDEN SISJON,VASTRA FROLUN,SE";"-1 105,70"
"2023-06-15";"2023-06-14";"Kortköp";"THEPIHUT,01440510772,GB";"-850,61"
"2023-06-16";"2023-06-14";"Kortköp";"electrokit.com,MALMO,SE";"-135,25"
"2023-06-17";"2023-06-16";"Kortköp";"BILTEMA SWEDEN PARTILL,GOTEBORG,SE";"-445,60"
"2023-06-17";"2023-06-16";"Kortköp";"Mjuk Biltvatt Kungsbac,Kungsbacka,SE";"-29,00"
"2023-06-19";"2023-06-18";"Kortköp";"NO-IP,7758531883,US";"-216,32"
"2023-06-20";"2023-06-19";"Kortköp";"NPM, INC.,SAN FRANCISCO,US";"-75,75"
"2023-06-20";"2023-06-19";"Kortköp";"NPM, INC.,SAN FRANCISCO,US";"-75,75"
"2023-06-20";"2023-06-19";"Kortköp";"KJELL & CO,MALMÖ,SE";"-98,90"
"2023-06-21";"2023-06-17";"Kortköp";"electrokit.com,MALMO,SE";"-760,25"
"2023-06-22";"2023-06-21";"Kortköp";"KJELL & CO,MALMÖ,SE";"-499,00"
"2023-06-22";"2023-06-21";"Kortköp";"WWW.RASPBERRYPI.DK,Aalborg soe,DK";"-1 657,34"
"2023-06-24";"2023-06-23";"Kortköp";"Klarna*clasohlson.com,Insjon,SE";"-879,00"
"2023-06-27";"2023-06-26";"Kortköp";"electrokit.com,MALMO,SE";"-83,25"
"2023-06-27";"2023-06-26";"Kortköp";"electrokit.com,MALMO,SE";"-221,25"
"2023-06-28";"2023-06-27";"Kortköp";"CLAS OHLSON,KUNGSBACKA,SE";"-129,90"
"2023-06-30";"2023-06-29";"Kortköp";"KJELL & CO,MALMÖ,SE";"-148,00"
"2023-06-30";"2023-06-29";"Kortköp";"KJELL & CO,MALMÖ,SE";"-1 790,00"
"2023-06-30";"2023-06-29";"Kortköp";"KJELL & CO,MALMÖ,SE";"-458,80"
"2023-06-30";"2023-06-28";"Kortköp";"electrokit.com,MALMO,SE";"-105,25"
"2023-07-04";"2023-07-04";"Betalning";"TELE2 SV AB FÖRETAG ATTN:";"-632,00"
"2023-07-04";"2023-07-02";"Kortköp";"electrokit.com,MALMO,SE";"-191,25"
"2023-07-04";"2023-07-02";"Kortköp";"electrokit.com,MALMO,SE";"-1 314,25"
"2023-07-12";"2023-07-11";"Kortköp";"KJELL & CO 62,KUNGSBACKA,SE";"-949,50"
"2023-07-13";"2023-07-11";"Kortköp";"electrokit.com,MALMO,SE";"-74,25"
"2023-07-13";"2023-07-12";"Kortköp";"electrokit.com,MALMO,SE";"-108,25"
"2023-07-20";"2023-07-19";"Kortköp";"NPM, INC.,SAN FRANCISCO,US";"-73,05"
"2023-07-20";"2023-07-19";"Kortköp";"NPM, INC.,SAN FRANCISCO,US";"-73,05"
"2023-08-03";"2023-08-03";"Betalning";"Fortnox Finans AB";"-1 248,52"
"2023-08-03";"2023-08-03";"Betalning";"TELE2 SV AB FÖRETAG ATTN:";"-632,00"
"2023-08-03";"2023-08-03";"Betalning";"TELE2 SV AB FÖRETAG ATTN:";"-632,00"
"2023-08-03";"2023-08-03";"Betalning";"TRÄNGSELSKATT TRANSPORTSTYRELSEN";"-522,00"
"2023-08-03";"2023-08-03";"Betalning";"FORDONSSKATT TRANSPORTSTYRELSEN";"-2 370,00"
"2023-08-17";"2023-08-16";"Kortköp";"CHATGPT SUBSCRIPTION,SAN FRANCISCO,US";"-220,83"
"2023-08-20";"2023-08-19";"Kortköp";"NPM, INC.,SAN FRANCISCO,US";"-78,19"
"2023-08-20";"2023-08-19";"Kortköp";"NPM, INC.,SAN FRANCISCO,US";"-78,19"
"2023-09-07";"2023-09-07";"Kortköp";"Microsoft*Subscription,msbill.info,IE";"-155,00"
"2023-09-08";"2023-09-08";"Kortköp";"DIGITALOCEAN.COM,AMSTERDAM,NL";"-2 103,06"
"2023-09-17";"2023-09-16";"Kortköp";"CHATGPT SUBSCRIPTION,SAN FRANCISCO,US";"-227,55"
"2023-09-20";"2023-09-19";"Kortköp";"NPM, INC.,SAN FRANCISCO,US";"-79,94"
"2023-09-20";"2023-09-19";"Kortköp";"NPM, INC.,SAN FRANCISCO,US";"-79,94"
"2023-10-02";"2023-10-01";"Kortköp";"DIGITALOCEAN.COM,AMSTERDAM,NL";"-78,99"
"2023-10-06";"2023-10-05";"Kortköp";"KJELL & CO,MALMÖ,SE";"-328,80"
"2023-10-07";"2023-10-06";"Kortköp";"SJOBAREN LORENS,GOTEBORG,SE";"-330,00"
"2023-10-11";"2023-10-10";"Kortköp";"CLAS OHLSON,KUNGSBACKA,SE";"-538,90"
"2023-10-17";"2023-10-16";"Kortköp";"CHATGPT SUBSCRIPTION,SAN FRANCISCO,US";"-224,20"
"2023-10-20";"2023-10-19";"Kortköp";"NPM, INC.,SAN FRANCISCO,US";"-78,43"
"2023-10-20";"2023-10-19";"Kortköp";"NPM, INC.,SAN FRANCISCO,US";"-78,43"
"2023-10-27";"2023-10-26";"Kortköp";"GITHUB, INC.,SAN FRANCISCO,US";"-544,59"
"2023-10-27";"2023-10-27";"Swish till ODERLAND WEBBHOTELL AB";"524398";"-447,50"
"2023-10-27";"2023-10-27";"Swish till ODERLAND WEBBHOTELL AB";"512859";"-186,25"
"2023-10-27";"2023-10-27";"Swish till ODERLAND WEBBHOTELL AB";"529113";"-236,25"
"2023-10-30";"2023-10-29";"Kortköp";"Microsoft*Store,msbill.info,IE";"-599,00"
"2023-10-30";"2023-10-30";"Swish till FORTNOX FINANS AB";"Fortnox AB";"-1 249,81"
"2023-11-01";"2023-10-31";"Kortköp";"DIGITALOCEAN.COM,AMSTERDAM,NL";"-99,28"
"2023-11-12";"2023-11-11";"Kortköp";"Mol*TinyTronics,31651736239,NL";"-551,86"
"2023-11-12";"2023-11-11";"Kortköp";"Mol*TinyTronics,31651736239,NL";"-410,96"
"2023-11-12";"2023-11-11";"Kortköp";"DOCKER, INC.,PALO ALTO,US";"-3 335,35"
"2023-11-17";"2023-11-16";"Kortköp";"CHATGPT SUBSCRIPTION,SAN FRANCISCO,US";"-215,66"
"2023-11-19";"2023-11-19";"Kortköp";"NPM, INC.,SAN FRANCISCO,US";"-75,48"
"2023-11-19";"2023-11-19";"Kortköp";"NPM, INC.,SAN FRANCISCO,US";"-75,48"
"2023-11-20";"2023-11-20";"Kortköp";"Mol*TinyTronics,31651736239,NL";"-435,85"
"2023-11-27";"2023-11-26";"Kortköp";"KJELL & CO 62,KUNGSBACKA,SE";"-428,80"
"2023-12-01";"2023-11-30";"Kortköp";"DIGITALOCEAN.COM,AMSTERDAM,NL";"-93,40"
"2023-12-02";"2023-12-01";"Kortköp";"Sjoebaren Lorensberg,Goeteborg,SE";"-368,00"
"2023-12-02";"2023-12-02";"Swish till ELECTROKIT SWEDEN AB";"Electrokit order C407518";"-241,25"
"2023-12-07";"2023-12-07";"Kortköp";"TeamViewer GmbH,Goeppingen,DE";"-5 792,15"
"2023-12-08";"2023-12-07";"Kortköp";"Besikta KUNGSBACKA -,Kungsbacka,SE";"-659,00"
"2023-12-15";"2023-12-14";"Kortköp";"BKG*HOTEL AT BOOKING.C,(888)850-3958,NL";"-1 145,00"
"2023-12-17";"2023-12-16";"Kortköp";"CHATGPT SUBSCRIPTION,SAN FRANCISCO,US";"-209,63"
"2023-12-19";"2023-12-19";"Kortköp";"NPM, INC.,SAN FRANCISCO,US";"-73,59"
"2023-12-19";"2023-12-19";"Kortköp";"NPM, INC.,SAN FRANCISCO,US";"-73,59"
"2023-12-24";"2023-12-23";"Kortköp";"MJUK BILTVATT,GOTEBORG,SE";"-299,00"
"2024-01-01";"2023-12-31";"Kortköp";"DIGITALOCEAN.COM,AMSTERDAM,NL";"-93,81"
"2024-01-06";"2024-01-05";"Kortköp";"OPENAI,SAN FRANCISCO,US";"-104,71"
"2024-01-10";"2024-01-09";"Kortköp";"LEMSQZY* REACT-ADMIN,SALT LAKE CIT,US";"-1 675,62"
"2024-01-12";"2024-01-12";"Kortköp";"GITKRAKEN SOFTWARE,SCOTTSDALE,US";"-2 009,91"
"2024-01-14";"2024-01-12";"Kortköp";"JOHN SCOTT S,Goteborg,SE";"-250,00"
"2024-01-18";"2024-01-18";"Swish till ODERLAND WEBBHOTELL AB";"557651";"-248,75"
"2024-01-18";"2024-01-18";"Swish till ODERLAND WEBBHOTELL AB";"541235";"-236,25"
"2024-01-18";"2024-01-18";"Swish till ODERLAND WEBBHOTELL AB";"543781";"-248,75"
"2024-01-19";"2024-01-19";"Betalning";"Fortnox Finans AB";"-1 567,00"
"2024-01-19";"2024-01-18";"Kortköp";"KIFAB PAPPERSGROSSISTE,KUNGSBACKA,SE";"-269,00"
"2024-01-19";"2024-01-19";"Swish till SCANDIC HOTELS AB";"";"-822,00"
"2024-01-19";"2024-01-19";"Kortköp";"NPM, INC.,SAN FRANCISCO,US";"-74,58"
"2024-01-19";"2024-01-19";"Kortköp";"NPM, INC.,SAN FRANCISCO,US";"-74,58"
"2024-01-20";"2024-01-19";"Kortköp";"CLAS OHLSON,SODERTALJE,SE";"-199,90"
"2024-01-22";"2024-01-22";"Swish till FORTNOX FINANS AB";"Fortnox AB";"-1 065,64"
"2024-01-22";"2024-01-21";"Kortköp";"2CO.COM*EASEUS.COM 226,AMSTERDAM,NL";"-913,69"
"2024-01-28";"2024-01-27";"Kortköp";"A MEDIUM CORPORATION,4155085008,US";"-53,20"
"2024-02-09";"2024-02-09";"Kortköp";"DIGITALOCEAN.COM,AMSTERDAM,NL";"-79,98"
