2021-12-01,42000,juli-dec 2021
2022-01-01,7000,jan 2022
2022-02-01,7000,feb 2022
2022-03-01,7000,mar 2022
2022-04-01,7000,apr 2022
2022-05-01,7000,maj 2022
2022-06-01,7000,jun 2022
2022-07-01,7000,jul 2022
2022-08-01,7000,aug 2022
2022-09-01,7000,sep 2022
2022-10-01,7000,okt 2022
2022-11-01,7000,nov 2022
2022-12-01,7000,dec 2022
2023-01-01,7000,jan 2023
2023-02-01,7000,deb 2023
2023-03-01,7000,mar 2023
2023-04-01,7000,apr 2023
2023-05-01,7000,maj 2023
2023-06-01,7000,jun 2023
2023-07-01,7000,jul 2023
2023-08-01,7000,aug 2023
2023-09-01,7000,sep 2023
2023-10-01,7000,okt 2023
2023-11-01,7000,nov 2023
2023-12-01,7000,dec 2023
2024-01-01,7000,jan 2024
